Mode,Start,Goal,Algorithm,Path Length,Path Cost,Nodes Expanded,Runtime (us),Path
Today Mode,Changi Airport,City Hall,BFS,10,31,33,23.7,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall
Today Mode,Changi Airport,City Hall,DFS,12,46,25,15.8,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall
Today Mode,Changi Airport,City Hall,GBFS,12,43,16,42.3,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay -> Raffles Place -> City Hall
Today Mode,Changi Airport,City Hall,A*,10,31,28,25.0,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall
Today Mode,Changi Airport,Orchard,BFS,13,43,63,21.8,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Today Mode,Changi Airport,Orchard,DFS,15,58,66,49.0,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Today Mode,Changi Airport,Orchard,GBFS,15,55,20,53.1,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay -> Raffles Place -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Today Mode,Changi Airport,Orchard,A*,13,43,63,53.4,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Dhoby Ghaut -> Somerset -> Orchard
Today Mode,Changi Airport,Gardens by the Bay,BFS,11,34,42,17.7,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Gardens by the Bay
Today Mode,Changi Airport,Gardens by the Bay,DFS,13,49,26,13.2,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Downtown -> Bugis -> City Hall -> Gardens by the Bay
Today Mode,Changi Airport,Gardens by the Bay,GBFS,11,41,11,18.8,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Nicoll Highway -> Promenade -> Bayfront -> Marina Bay -> Gardens by the Bay
Today Mode,Changi Airport,Gardens by the Bay,A*,11,34,31,25.1,Changi Airport -> Expo -> Tanah Merah -> Bedok -> Kembangan -> Paya Lebar -> Aljunied -> Kallang -> Bugis -> City Hall -> Gardens by the Bay
Today Mode,Paya Lebar,Changi Airport,BFS,6,22,29,16.2,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Paya Lebar,Changi Airport,DFS,6,22,92,34.9,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Paya Lebar,Changi Airport,GBFS,6,22,6,14.1,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,Paya Lebar,Changi Airport,A*,6,22,47,41.9,Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,HarbourFront,Changi Airport,BFS,15,46,84,33.4,HarbourFront -> Telok Blangah -> Outram Park -> Tanjong Pagar -> Raffles Place -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,HarbourFront,Changi Airport,DFS,19,71,64,23.6,HarbourFront -> Telok Blangah -> Outram Park -> Chinatown -> Raffles Place -> Marina Bay -> Gardens by the Bay -> City Hall -> Bugis -> Downtown -> Bayfront -> Promenade -> Nicoll Highway -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,HarbourFront,Changi Airport,GBFS,15,54,19,33.7,HarbourFront -> Telok Blangah -> Outram Park -> Tanjong Pagar -> Raffles Place -> Marina Bay -> Bayfront -> Promenade -> Nicoll Highway -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
Today Mode,HarbourFront,Changi Airport,A*,15,46,86,61.9,HarbourFront -> Telok Blangah -> Outram Park -> Tanjong Pagar -> Raffles Place -> City Hall -> Bugis -> Kallang -> Aljunied -> Paya Lebar -> Kembangan -> Bedok -> Tanah Merah -> Expo -> Changi Airport
